Round,Pick,Mod Enum,FM?,Map ID,Map Text,Round,Pick,Mod Enum,FM?,Map ID,Map Text,Hyperlink
,,,FALSE,,,Qualifiers,NS1,0,FALSE,949264,DECO*27 - Ghost Rule [108],DECO*27 - Ghost Rule [108]
,,,FALSE,,,Qualifiers,NS2,0,FALSE,3407178,xi - FREEDOM DiVE [PaRaDogi's GRAViTY],xi - FREEDOM DiVE [PaRaDogi's GRAViTY]
,,,FALSE,,,Qualifiers,NS3,0,FALSE,2014391,THE ORAL CIGARETTES - Kyouran Hey Kids!! [GreenHue's Insane],THE ORAL CIGARETTES - Kyouran Hey Kids!! [GreenHue's Insane]
,,,FALSE,,,Qualifiers,NS4,0,FALSE,3708878,ClariS - Hitorigoto (DnB Edit) [amity's Expert],ClariS - Hitorigoto (DnB Edit) [amity's Expert]
,,,FALSE,,,Qualifiers,HiS1,8,FALSE,1119398,Porter Robinson & Madeon - Shelter [Insane],Porter Robinson & Madeon - Shelter [Insane]
,,,FALSE,,,Qualifiers,HiS2,8,FALSE,42763,REDALiCE - Bad Apple!! [NachoPiggy's Intense],REDALiCE - Bad Apple!! [NachoPiggy's Intense]
,,,FALSE,,,Qualifiers,HaS1,16,FALSE,2665472,TK from Ling tosite sigure - unravel [Insane],TK from Ling tosite sigure - unravel [Insane]
,,,FALSE,,,Qualifiers,HaS2,16,FALSE,962979,HO-KAGO TEA TIME - Kira Kira Days [Milan-'s Extra!!],HO-KAGO TEA TIME - Kira Kira Days [Milan-'s Extra!!]
,,,FALSE,,,Qualifiers,DS1,64,FALSE,2260615,SOOOO - Happppy song (Cut Ver.) [normal.],SOOOO - Happppy song (Cut Ver.) [normal.]
,,,FALSE,,,Qualifiers,DS2,64,FALSE,1712875,MYTH & ROID - VORACITY (TV Size) [VERY CRAZY HARD],MYTH & ROID - VORACITY (TV Size) [VERY CRAZY HARD]
,,,FALSE,,,Qualifiers,FM1,0,TRUE,93027,Hatsune Miku - SING & SMILE [Insane],Hatsune Miku - SING & SMILE [Insane]
